Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number
eve,50,65000.0,Female,Sales,Analyst,,C,no_email@example.com,
alice,50,55000.0,Male,HR,Clerk,,C,no_email@example.com,000-000-0000
hannah,25,50000.0,Other,IT,Analyst,,B,name@company.org,000-000-0000
alice,30,55000.0,Female,Sales,Analyst,,B,name@company.org,000-000-0000
alice,40,60000.0,Male,Sales,Manager,,C,name@company.org,000-000-0000
bob,0,65000.0,Male,Marketing,Analyst,,D,email@example.com,555-555-5555
bob,35,55000.0,Female,Finance,Assistant,,A,no_email@example.com,
frank,0,50000.0,Female,Finance,Analyst,2018-04-05,A,name@company.org,
grace,30,55000.0,Male,Marketing,Clerk,,C,no_email@example.com,123-456-7890
eve,50,70000.0,Other,Marketing,Clerk,2018-04-05,B,name@company.org,000-000-0000
alice,0,50000.0,Other,Marketing,Director,2018-04-05,D,no_email@example.com,000-000-0000
alice,25,60000.0,Other,Finance,Clerk,,C,no_email@example.com,123-456-7890
charlie,30,65000.0,Male,Marketing,Analyst,,A,no_email@example.com,
bob,50,55000.0,Female,HR,Clerk,2018-04-05,F,user@domain.com,098-765-4321
eve,35,50000.0,Male,Sales,Manager,,B,name@company.org,098-765-4321
jack,50,70000.0,Female,Sales,Clerk,,F,user@domain.com,
frank,25,50000.0,Other,IT,Assistant,,C,no_email@example.com,000-000-0000
grace,30,60216.08643457383,Other,IT,Manager,,A,user@domain.com,098-765-4321
david,35,70000.0,Female,Sales,Director,2018-04-05,D,no_email@example.com,555-555-5555
grace,25,60000.0,Female,HR,Assistant,,F,no_email@example.com,555-555-5555
hannah,50,65000.0,Male,Finance,Analyst,,D,no_email@example.com,123-456-7890
alice,25,60000.0,Other,Finance,Analyst,,A,user@domain.com,
frank,30,55000.0,Male,HR,Analyst,2018-04-05,F,name@company.org,
hannah,40,50000.0,Male,Finance,Assistant,,D,user@domain.com,098-765-4321
eve,25,60216.08643457383,Male,Marketing,Assistant,,D,name@company.org,000-000-0000
david,25,70000.0,Other,Sales,Assistant,2018-04-05,F,name@company.org,
bob,50,70000.0,Male,Sales,Manager,,A,no_email@example.com,098-765-4321
frank,50,50000.0,Male,HR,Manager,,D,user@domain.com,098-765-4321
frank,35,60216.08643457383,Male,Finance,Analyst,,C,name@company.org,
alice,50,50000.0,Male,IT,Clerk,,F,no_email@example.com,098-765-4321
ivy,0,55000.0,Male,IT,Analyst,2018-04-05,B,name@company.org,123-456-7890
frank,30,60000.0,Male,Finance,Director,,B,no_email@example.com,123-456-7890
charlie,30,70000.0,Other,IT,Manager,,A,user@domain.com,
david,40,55000.0,Male,HR,Assistant,,C,user@domain.com,000-000-0000
david,40,60000.0,Female,HR,Manager,,D,user@domain.com,123-456-7890
charlie,30,55000.0,Male,Finance,Assistant,,B,name@company.org,123-456-7890
jack,40,60216.08643457383,Male,IT,Director,,A,email@example.com,
charlie,35,70000.0,Other,HR,Director,,C,name@company.org,555-555-5555
charlie,50,50000.0,Other,HR,Manager,,C,name@company.org,098-765-4321
david,30,50000.0,Female,Marketing,Assistant,,A,no_email@example.com,123-456-7890
grace,40,60000.0,Female,Marketing,Director,,A,no_email@example.com,555-555-5555
david,30,65000.0,Other,HR,Analyst,,D,name@company.org,000-000-0000
ivy,0,60216.08643457383,Other,Finance,Analyst,,A,no_email@example.com,555-555-5555
alice,25,60000.0,Male,Sales,Assistant,,D,no_email@example.com,
hannah,50,65000.0,Other,Sales,Manager,,D,name@company.org,000-000-0000
grace,30,55000.0,Female,HR,Director,2018-04-05,F,email@example.com,000-000-0000
bob,25,60216.08643457383,Male,HR,Manager,,C,no_email@example.com,555-555-5555
hannah,40,55000.0,Female,HR,Analyst,2018-04-05,C,user@domain.com,
alice,25,70000.0,Male,Finance,Director,,C,name@company.org,123-456-7890
ivy,50,60216.08643457383,Other,Marketing,Manager,,F,name@company.org,555-555-5555
ivy,30,65000.0,Female,HR,Clerk,2018-04-05,D,no_email@example.com,123-456-7890
bob,0,70000.0,Male,HR,Assistant,,D,no_email@example.com,555-555-5555
grace,40,50000.0,Male,IT,Assistant,2018-04-05,A,no_email@example.com,123-456-7890
jack,30,65000.0,Other,Finance,Clerk,,F,no_email@example.com,555-555-5555
charlie,50,60000.0,Other,HR,Analyst,2018-04-05,A,user@domain.com,000-000-0000
grace,40,50000.0,Other,IT,Director,,F,no_email@example.com,098-765-4321
jack,35,50000.0,Female,Sales,Assistant,,A,no_email@example.com,000-000-0000
ivy,25,60000.0,Male,HR,Clerk,,B,no_email@example.com,123-456-7890
david,50,60216.08643457383,Other,HR,Clerk,,C,no_email@example.com,
alice,35,50000.0,Female,IT,Analyst,,C,email@example.com,000-000-0000
bob,30,65000.0,Female,Finance,Analyst,,D,email@example.com,098-765-4321
alice,0,70000.0,Female,HR,Manager,,B,name@company.org,123-456-7890
eve,40,50000.0,Other,Sales,Assistant,2018-04-05,C,name@company.org,000-000-0000
eve,25,65000.0,Other,HR,Manager,2018-04-05,D,no_email@example.com,555-555-5555
grace,40,55000.0,Male,Sales,Clerk,,B,no_email@example.com,
ivy,30,65000.0,Male,Marketing,Director,,C,user@domain.com,123-456-7890
ivy,40,70000.0,Other,Marketing,Director,,A,user@domain.com,000-000-0000
charlie,25,65000.0,Female,Sales,Analyst,,F,email@example.com,123-456-7890
charlie,30,60000.0,Female,Finance,Director,,B,name@company.org,555-555-5555
charlie,40,70000.0,Female,HR,Director,,D,email@example.com,098-765-4321
david,0,60216.08643457383,Male,HR,Director,2018-04-05,B,email@example.com,000-000-0000
hannah,50,55000.0,Female,Marketing,Clerk,,D,name@company.org,123-456-7890
frank,30,60000.0,Male,Sales,Director,,B,user@domain.com,123-456-7890
hannah,50,60216.08643457383,Male,HR,Director,,D,name@company.org,123-456-7890
alice,30,65000.0,Female,HR,Director,,C,no_email@example.com,098-765-4321
hannah,0,70000.0,Female,Finance,Manager,,A,no_email@example.com,123-456-7890
david,50,55000.0,Other,IT,Clerk,,C,no_email@example.com,
alice,35,60000.0,Other,Marketing,Analyst,2018-04-05,A,no_email@example.com,
hannah,25,60216.08643457383,Female,Marketing,Manager,,C,user@domain.com,123-456-7890
david,35,60216.08643457383,Male,IT,Assistant,,C,user@domain.com,
frank,40,55000.0,Male,HR,Clerk,,B,no_email@example.com,000-000-0000
hannah,0,65000.0,Male,Finance,Clerk,2018-04-05,F,email@example.com,
david,35,55000.0,Male,Finance,Assistant,,D,no_email@example.com,123-456-7890
charlie,30,60216.08643457383,Male,Marketing,Assistant,,D,no_email@example.com,555-555-5555
ivy,40,50000.0,Other,Finance,Assistant,2018-04-05,D,email@example.com,000-000-0000
charlie,40,60000.0,Female,IT,Analyst,,A,name@company.org,098-765-4321
ivy,35,55000.0,Other,HR,Director,2018-04-05,D,name@company.org,123-456-7890
bob,35,60216.08643457383,Male,IT,Clerk,,D,user@domain.com,098-765-4321
bob,0,65000.0,Male,Sales,Director,,B,no_email@example.com,555-555-5555
bob,25,60216.08643457383,Male,Marketing,Director,,C,user@domain.com,098-765-4321
frank,35,65000.0,Male,Finance,Assistant,2018-04-05,D,name@company.org,123-456-7890
charlie,35,55000.0,Female,Sales,Analyst,,F,email@example.com,123-456-7890
ivy,50,65000.0,Male,Finance,Manager,,D,user@domain.com,555-555-5555
david,30,70000.0,Female,HR,Analyst,,A,no_email@example.com,123-456-7890
alice,50,70000.0,Male,HR,Director,,A,no_email@example.com,555-555-5555
david,50,70000.0,Female,HR,Analyst,,A,email@example.com,555-555-5555
alice,40,50000.0,Other,Finance,Assistant,2018-04-05,D,name@company.org,123-456-7890
eve,25,55000.0,Male,Sales,Manager,2018-04-05,B,no_email@example.com,
david,30,60216.08643457383,Female,HR,Assistant,,F,no_email@example.com,555-555-5555
hannah,0,60216.08643457383,Other,Sales,Manager,,D,no_email@example.com,123-456-7890
hannah,0,50000.0,Male,Finance,Director,,B,user@domain.com,
grace,35,65000.0,Male,Sales,Manager,,B,name@company.org,555-555-5555
charlie,35,50000.0,Male,Finance,Manager,,D,user@domain.com,
alice,0,65000.0,Female,Finance,Manager,,D,name@company.org,000-000-0000
alice,35,65000.0,Female,Marketing,Analyst,,B,no_email@example.com,000-000-0000
charlie,25,60000.0,Other,Finance,Analyst,,B,no_email@example.com,
frank,50,60216.08643457383,Female,Finance,Director,2018-04-05,B,user@domain.com,555-555-5555
grace,35,70000.0,Female,IT,Manager,,D,no_email@example.com,123-456-7890
frank,40,65000.0,Male,HR,Clerk,,B,name@company.org,098-765-4321
frank,35,60000.0,Male,Marketing,Director,,A,user@domain.com,123-456-7890
frank,30,60216.08643457383,Male,Marketing,Manager,,D,user@domain.com,098-765-4321
charlie,25,70000.0,Male,Marketing,Manager,,A,no_email@example.com,098-765-4321
frank,30,65000.0,Male,IT,Analyst,,C,user@domain.com,555-555-5555
hannah,30,65000.0,Male,Finance,Director,,D,no_email@example.com,
bob,40,50000.0,Male,HR,Manager,,C,no_email@example.com,123-456-7890
eve,25,50000.0,Other,Sales,Manager,,B,no_email@example.com,
alice,25,60216.08643457383,Other,Finance,Director,2018-04-05,B,name@company.org,000-000-0000
alice,25,70000.0,Other,IT,Clerk,,F,no_email@example.com,555-555-5555
eve,25,65000.0,Other,Finance,Director,,B,no_email@example.com,555-555-5555
charlie,25,60216.08643457383,Male,Finance,Director,,C,email@example.com,000-000-0000
david,40,60216.08643457383,Other,IT,Clerk,,B,email@example.com,123-456-7890
charlie,35,55000.0,Male,Marketing,Director,,D,user@domain.com,000-000-0000
alice,30,50000.0,Other,Marketing,Manager,,B,user@domain.com,123-456-7890
alice,25,70000.0,Female,HR,Director,,F,email@example.com,098-765-4321
eve,35,65000.0,Other,HR,Clerk,,B,no_email@example.com,555-555-5555
frank,35,60216.08643457383,Other,Marketing,Assistant,2018-04-05,C,user@domain.com,123-456-7890
charlie,30,65000.0,Male,Sales,Director,,C,no_email@example.com,
ivy,40,55000.0,Other,Finance,Analyst,,B,no_email@example.com,
eve,0,70000.0,Female,Sales,Manager,,C,no_email@example.com,555-555-5555
hannah,0,60216.08643457383,Male,Finance,Manager,,C,user@domain.com,000-000-0000
alice,35,65000.0,Male,Marketing,Analyst,,F,no_email@example.com,000-000-0000
eve,50,50000.0,Other,HR,Analyst,2018-04-05,D,user@domain.com,123-456-7890
charlie,50,55000.0,Male,HR,Director,,F,user@domain.com,000-000-0000
alice,30,70000.0,Male,Sales,Analyst,,A,no_email@example.com,555-555-5555
david,0,55000.0,Male,HR,Assistant,,F,email@example.com,123-456-7890
eve,35,50000.0,Male,Marketing,Clerk,,B,no_email@example.com,098-765-4321
grace,40,70000.0,Male,Sales,Analyst,,D,no_email@example.com,000-000-0000
alice,0,55000.0,Male,Finance,Analyst,,B,name@company.org,000-000-0000
charlie,35,60000.0,Female,HR,Assistant,,A,no_email@example.com,123-456-7890
bob,35,50000.0,Other,IT,Manager,2018-04-05,D,user@domain.com,
ivy,25,50000.0,Female,HR,Manager,,C,user@domain.com,000-000-0000
jack,40,50000.0,Male,Finance,Director,,F,no_email@example.com,555-555-5555
frank,25,60000.0,Male,Sales,Assistant,,B,name@company.org,000-000-0000
jack,30,60000.0,Other,Finance,Clerk,,A,no_email@example.com,098-765-4321
charlie,25,65000.0,Female,IT,Clerk,,C,name@company.org,000-000-0000
hannah,25,60216.08643457383,Other,Marketing,Assistant,,F,name@company.org,
hannah,0,55000.0,Female,HR,Clerk,,C,no_email@example.com,000-000-0000
bob,50,65000.0,Male,Sales,Manager,2018-04-05,F,user@domain.com,123-456-7890
frank,35,55000.0,Other,Marketing,Clerk,,D,user@domain.com,000-000-0000
grace,40,60216.08643457383,Other,Finance,Clerk,,C,name@company.org,
bob,25,60000.0,Male,Sales,Assistant,,C,user@domain.com,123-456-7890
jack,40,60216.08643457383,Other,Marketing,Assistant,,C,email@example.com,555-555-5555
bob,50,60000.0,Female,Sales,Clerk,,D,name@company.org,123-456-7890
jack,50,60216.08643457383,Female,IT,Analyst,,A,user@domain.com,098-765-4321
alice,25,65000.0,Female,IT,Assistant,,F,email@example.com,123-456-7890
hannah,30,70000.0,Female,HR,Director,2018-04-05,C,no_email@example.com,555-555-5555
alice,25,65000.0,Male,HR,Director,,D,user@domain.com,000-000-0000
ivy,0,55000.0,Other,IT,Manager,2018-04-05,A,email@example.com,123-456-7890
frank,35,65000.0,Female,Sales,Clerk,,F,no_email@example.com,123-456-7890
grace,30,50000.0,Male,IT,Analyst,,D,no_email@example.com,123-456-7890
jack,25,55000.0,Other,HR,Manager,,F,email@example.com,123-456-7890
grace,40,60216.08643457383,Other,IT,Clerk,2018-04-05,C,name@company.org,555-555-5555
jack,30,55000.0,Male,IT,Assistant,2018-04-05,A,name@company.org,
charlie,30,70000.0,Male,Sales,Director,,D,user@domain.com,
bob,25,60000.0,Female,Marketing,Analyst,,A,no_email@example.com,123-456-7890
ivy,30,60216.08643457383,Other,HR,Director,,C,name@company.org,555-555-5555
hannah,40,55000.0,Other,Sales,Assistant,,A,name@company.org,555-555-5555
jack,50,60216.08643457383,Male,IT,Clerk,,A,no_email@example.com,123-456-7890
grace,30,60216.08643457383,Other,IT,Assistant,2018-04-05,B,no_email@example.com,098-765-4321
ivy,50,60216.08643457383,Female,Marketing,Assistant,,A,name@company.org,123-456-7890
david,40,60000.0,Other,HR,Director,,F,email@example.com,098-765-4321
david,25,65000.0,Male,HR,Analyst,,D,user@domain.com,123-456-7890
alice,35,60216.08643457383,Male,Finance,Assistant,,B,name@company.org,098-765-4321
hannah,30,50000.0,Female,HR,Director,,D,name@company.org,098-765-4321
charlie,35,70000.0,Female,Marketing,Analyst,2018-04-05,D,no_email@example.com,123-456-7890
grace,40,60000.0,Other,Finance,Clerk,,C,email@example.com,098-765-4321
bob,30,55000.0,Other,Finance,Clerk,,C,user@domain.com,000-000-0000
bob,50,60000.0,Male,IT,Manager,,B,name@company.org,
grace,0,55000.0,Female,IT,Director,,C,user@domain.com,555-555-5555
frank,35,60000.0,Female,HR,Analyst,2018-04-05,C,no_email@example.com,098-765-4321
charlie,30,55000.0,Female,Finance,Assistant,,C,name@company.org,098-765-4321
ivy,35,60216.08643457383,Other,IT,Clerk,,D,name@company.org,555-555-5555
jack,30,65000.0,Female,Marketing,Analyst,,B,no_email@example.com,098-765-4321
frank,25,55000.0,Male,IT,Director,,D,no_email@example.com,555-555-5555
jack,50,55000.0,Male,IT,Manager,,F,name@company.org,123-456-7890
